Crypto,Date,Price,Open,High,Low,Vol.,ChangeP
Bitcoin,16-Mar-21,56889.7,55619.5,56889.7,53342.6,128.51K,1.97%
Bitcoin,15-Mar-21,55791.3,59117.4,60565.9,55088.8,117.71K,-5.62%
Bitcoin,14-Mar-21,59113.7,61192.7,61673.7,59113.7,80.29K,-3.40%
Bitcoin,13-Mar-21,61195.3,57267.4,61795.8,56118.8,134.64K,6.86%
Bitcoin,12-Mar-21,57265.1,57806.2,58052.3,55134.5,116.96K,-0.92%
Bitcoin,11-Mar-21,57799.5,55851.2,58135,54351.8,129.63K,3.49%
Bitcoin,10-Mar-21,55851.9,54882.7,57328.7,53073.6,140.96K,1.77%
Bitcoin,09-Mar-21,54879,52352.4,54880.6,51941.3,114.06K,4.91%
Bitcoin,08-Mar-21,52311,50988.9,52384.9,49338.1,68.14K,2.61%
Bitcoin,07-Mar-21,50982.3,48899,51434.1,48890.6,82.91K,4.35%
Bitcoin,06-Mar-21,48855.6,48798.7,49191.8,47132.8,66.66K,0.13%
Bitcoin,05-Mar-21,48792.5,48363.6,49429.4,46370.1,113.64K,0.75%
Bitcoin,04-Mar-21,48428,50388,51757.7,47521.8,9.56K,-3.90%
Bitcoin,03-Mar-21,50395.1,48422.2,52567.9,48159.2,44.93K,4.07%
Bitcoin,02-Mar-21,48424.2,49595.6,50191.9,47100.6,102.10K,-2.36%
Bitcoin,01-Mar-21,49595.5,45160.5,49774,45008.8,137.52K,9.81%
Bitcoin,28-Feb-21,45164,46136,46582,43100.6,135.08K,-2.11%
Bitcoin,27-Feb-21,46136.7,46333.1,48335.1,45059.4,98.75K,-0.45%
Bitcoin,26-Feb-21,46345.6,46928.5,48413.9,44248.2,189.41K,-1.24%
Bitcoin,25-Feb-21,46928.5,49695.9,52013.8,46773.7,83.22K,-5.57%
Bitcoin,24-Feb-21,49697.5,48911.1,51311.8,47031.7,153.75K,1.61%
Bitcoin,23-Feb-21,48911.2,54114.1,54115,45093.8,315.07K,-9.61%
Bitcoin,22-Feb-21,54111.8,57437.6,57480.8,48353.8,244.95K,-5.78%
Bitcoin,21-Feb-21,57433.8,55907.6,58335.1,55502.7,87.26K,2.70%
Bitcoin,20-Feb-21,55923.7,55922,57523.8,54124.1,127.85K,0.03%
Bitcoin,19-Feb-21,55906.6,51590.1,56238.5,50816.8,139.43K,8.38%
Bitcoin,18-Feb-21,51582.2,52094.5,52524,50941.6,94.35K,-0.95%
Bitcoin,17-Feb-21,52079.2,49161.3,52577.7,49018.1,140.03K,5.92%
Bitcoin,16-Feb-21,49169.7,47934.2,50515.8,47044.4,141.37K,2.57%
Bitcoin,15-Feb-21,47936.3,48611.1,48936.5,45786.1,123.18K,-1.45%
Bitcoin,14-Feb-21,48643.4,47172.1,49695.1,47051.9,106.50K,3.13%
Bitcoin,13-Feb-21,47168.7,47373.1,48097.3,46270.5,89.42K,-0.43%
Bitcoin,12-Feb-21,47371.7,47995,48927.4,46218.6,133.73K,-1.29%
Bitcoin,11-Feb-21,47990.7,44834.8,48622.1,44041.1,145.77K,7.04%
Bitcoin,10-Feb-21,44836,46507.8,47295.3,43800.5,151.83K,-3.60%
Bitcoin,09-Feb-21,46508.6,46396.4,48143.5,45104.7,193.87K,0.24%
Bitcoin,08-Feb-21,46395.7,38853.6,46596.4,38057,248.47K,19.41%
Bitcoin,07-Feb-21,38852.9,39228.9,39691.7,37381.6,125.37K,-1.03%
Bitcoin,06-Feb-21,39256.6,38300.6,40939.7,38275.3,156.02K,2.50%
Bitcoin,05-Feb-21,38297.6,36976.4,38303.6,36640,100.60K,3.56%
Bitcoin,04-Feb-21,36982.1,37648.9,38707.9,36380.8,151.44K,-1.77%
Bitcoin,03-Feb-21,37646.8,35486.9,37646.8,35401.5,131.03K,6.09%
Bitcoin,02-Feb-21,35485.2,33514,35976.1,33462.4,120.85K,5.88%
Bitcoin,01-Feb-21,33515.7,33106.8,34685.6,32324.9,126.32K,1.23%
Bitcoin,31-Jan-21,33108.1,34281.6,34348.3,32189.9,101.92K,-3.43%
Bitcoin,30-Jan-21,34283.1,34300,34920.9,32908.5,128.57K,-0.05%
Bitcoin,29-Jan-21,34301.8,33381.7,38546,31953.3,297.73K,2.78%
Bitcoin,28-Jan-21,33374.8,30408.9,33790.8,29911.9,167.39K,9.77%
Bitcoin,27-Jan-21,30404,32499.6,32545.4,29290.4,194.35K,-6.46%
Bitcoin,26-Jan-21,32502.1,32244.1,32917.7,30850,139.84K,0.77%
Bitcoin,25-Jan-21,32252.3,32244.3,34854.3,31967.4,142.43K,0.03%
Bitcoin,24-Jan-21,32241.3,32088.5,33034.8,30982.9,88.21K,0.47%
