Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/19/21,8:00:00,Binance,438.35,440.38,429.01,437.94,229400.8446,-36.7,-0.1
5/19/21,7:00:00,Binance,427.64,440.89,413.56,438.42,362773.499,6.928,2.52
5/19/21,6:00:00,Binance,427.62,440,424.33,427.64,339268.4368,-43.1,-0.01
5/19/21,5:00:00,Binance,419.58,434.99,418.83,427.72,596672.1014,-33.3,1.944
5/19/21,4:00:00,Binance,453.29,460.58,407.37,419.56,895246.6605,111,-7.42
5/19/21,3:00:00,Binance,460.85,469.09,450.28,453.23,424183.6344,16.06,-1.65
5/19/21,2:00:00,Binance,478.64,484.69,460.1,460.85,365482.2937,7.711,-3.73
5/19/21,1:00:00,Binance,505.42,505.79,474,478.71,339317.0485,172.5,-5.28
5/13/21,22:00:00,Binance,563.73,574.5,557.51,557.79,108102.6061,23.76,-1.05
5/13/21,21:00:00,Binance,563.17,569.36,557.69,563.72,87342.0289,-45.9,0.099
5/13/21,20:00:00,Binance,550.64,563.77,545.6,563.16,161502.9006,-27.4,2.193
5/13/21,19:00:00,Binance,546.84,562.49,546.02,551.07,222589.9127,-31.1,0.773
5/13/21,18:00:00,Binance,566.05,572,544.08,546.84,323179.8798,-55.7,-3.39
5/13/21,17:00:00,Binance,567.63,574.4,526.6,566.05,730415.4044,111.4,-0.29
5/13/21,16:00:00,Binance,593.67,607.59,561.76,567.7,345361.1251,99.96,-4.37
5/13/21,15:00:00,Binance,604.45,606.16,590,593.7,172714.9521,8.623,-1.78
5/13/21,14:00:00,Binance,609.72,617.87,603.46,604.46,159003.723,15.33,-0.84
5/13/21,13:00:00,Binance,602.02,611.5,594.6,609.61,137868.3541,-8.89,1.26
5/13/21,12:00:00,Binance,591.71,602.67,583.5,602.02,151333.636,-33.3,1.74
5/13/21,11:00:00,Binance,575.37,592.76,567.63,591.72,226947.106,-30,2.868
5/13/21,10:00:00,Binance,579.13,596.6,570.05,575.22,324450.7951,-7.15,-0.67
5/13/21,9:00:00,Binance,603.46,609.03,565.27,579.13,349451.8775,109.9,-4.03
